ASV1	gi|1859761915|gb|MT645092.1|	Bacillus sp. (in: Bacteria) strain RCPS5 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV2	gi|1860271843|gb|MT649293.1|	Bacillus sp. (in: Bacteria) strain IC-1C2 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV3	gi|1243274919|gb|MF968799.1|	Uncultured bacterium clone OTU1271_DON1.30313 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV4	gi|1243274630|gb|MF968510.1|	Uncultured bacterium clone OTU956_DOL1.32813 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV5	gi|1824097040|gb|MN503538.1|	Uncultured bacterium clone DZ2-1T-B3-OTU1 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV6	gi|1774780226|gb|MN686629.1|	Solirubrobacter phytolaccae strain GTGR-8(T) 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV7	gi|1860271841|gb|MT649292.1|	Bradyrhizobium sp. strain IC-1E 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV8	gi|1743543484|gb|MN475035.1|	Uncultured bacterium clone a1009 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV9	gi|1832403634|gb|MT355103.1|	Bacillus funiculus strain VPS3 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV10	gi|1850208630|gb|MT573190.1|	Achromobacter insolitus strain A-15 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV11	gi|1189449272|gb|MF047966.1|	Uncultured bacterium clone A1384 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV12	gi|1860271842|gb|MT649291.1|	Arthrobacter sp. strain JJ-1 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV13	gi|1773990993|gb|MN655551.1|	Uncultured Rhodoplanes sp. clone OTU245 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV14	gi|1189449183|gb|MF047877.1|	Uncultured bacterium clone A1295 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV15	gi|1253558774|gb|MG101385.1|	Uncultured bacterium clone OTU512_Control_T1.71110 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV16	gi|1206255475|emb|LT843436.1|	Uncultured Conexibacter sp. partial 16S rRNA gene, isolate BACT_OTU_2878	5.23e-127	468	100.000	100	100
ASV17	gi|1578791341|gb|MK544605.1|	Uncultured bacterium clone OTU_106 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV18	gi|1189450002|gb|MF048696.1|	Uncultured bacterium clone A2114 16S ribosomal RNA gene, partial sequence	1.46e-127	470	100.000	100	100
ASV19	gi|1496538044|gb|MH524054.1|	Uncultured bacterium clone OTU_406 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV20	gi|1496545206|gb|MH531216.1|	Uncultured bacterium clone OTU_7568 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV21	gi|1496540937|gb|MH526947.1|	Uncultured bacterium clone OTU_3299 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV22	gi|1860213671|gb|MT647568.1|	Bacillus paramycoides strain SDB4 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV23	gi|1578791451|gb|MK544715.1|	Uncultured bacterium clone OTU_322 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV24	gi|1496538396|gb|MH524406.1|	Uncultured bacterium clone OTU_758 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV25	gi|1787707029|gb|MN879275.1|	Microvirga arsenatis 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV26	gi|1243274035|gb|MF967915.1|	Uncultured bacterium clone OTU320_LOL1.50801 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV27	gi|1388705916|gb|KY892060.1|	Uncultured bacterium clone 2007WL_16S_OTU_1745 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV28	gi|1858592503|gb|MT626268.1|	Janibacter sp. strain voya40th392 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV29	gi|1189448735|gb|MF047429.1|	Uncultured bacterium clone A847 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV30	gi|1388705633|gb|KY891777.1|	Uncultured bacterium clone 2007WL_16S_OTU_1462 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV31	gi|1243273749|gb|MF967629.1|	Uncultured bacterium clone OTU19_DOL1.49754 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV32	gi|1241820791|gb|MF949269.1|	Uncultured bacterium clone OTU208_Control_M3.19594 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV33	gi|118163246|gb|EF072781.1|	Uncultured Bacilli bacterium clone GASP-WA2W1_G09 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV34	gi|1384893031|gb|KY802377.1|	Uncultured bacterium clone LMP12_16S_OTU_0193 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV35	gi|1189449483|gb|MF048177.1|	Uncultured bacterium clone A1595 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV36	gi|1387904245|gb|MH315170.1|	Uncultured bacterium clone OTU_3450 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV37	gi|1496540144|gb|MH526154.1|	Uncultured bacterium clone OTU_2506 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV38	gi|1776910681|gb|MN708114.1|	Uncultured actinobacterium clone Chel4-2-54 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV39	gi|1496538657|gb|MH524667.1|	Uncultured bacterium clone OTU_1019 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV40	gi|1008326619|gb|KU156363.1|	Uncultured bacterium clone 10.5G_2609 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV41	gi|1384892920|gb|KY802266.1|	Uncultured bacterium clone LMP12_16S_OTU_0082 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV42	gi|1243274192|gb|MF968072.1|	Uncultured bacterium clone OTU485_LOL2.86419 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV43	gi|1861039481|dbj|LC546397.1|	Nocardioides sp. BA-118 gene for 16S ribosomal RNA, partial sequence	5.23e-127	468	100.000	100	100
ASV44	gi|1861039761|dbj|LC546588.1|	Phenylobacterium sp. SO-123 gene for 16S ribosomal RNA, partial sequence	5.23e-127	468	100.000	100	100
ASV45	gi|1149302848|gb|KU477082.1|	Uncultured bacterium clone dongzy2tff36444 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV46	gi|1605039867|gb|MK726933.1|	Uncultured bacterium clone OTU_655 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV47	gi|1388704681|gb|KY890825.1|	Uncultured bacterium clone 2007WL_16S_OTU_0503 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV48	gi|1750467034|gb|MN505392.1|	Uncultured bacterium clone Otu549 16S ribosomal RNA gene, partial sequence	1.46e-127	470	100.000	100	100
ASV49	gi|1483569806|gb|MH989841.1|	Uncultured bacterium clone OTU246_Control_WM4_A.58300 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV50	gi|1496538584|gb|MH524594.1|	Uncultured bacterium clone OTU_946 16S ribosomal RNA gene, partial sequence	5.23e-127	468	100.000	100	100
ASV51	gi|1844116382|gb|CP053315.1|	Niallia circulans strain GN03 chromosome, complete genome	5.23e-127	468	100.000	100	100
ASV51	gi|1844116382|gb|CP053315.1|	Niallia circulans strain GN03 chromosome, complete genome	2.43e-125	462	99.605	100	100
ASV51	gi|1844116382|gb|CP053315.1|	Niallia circulans strain GN03 chromosome, complete genome	2.43e-125	462	99.605	100	100
ASV51	gi|1844116382|gb|CP053315.1|	Niallia circulans strain GN03 chromosome, complete genome	2.43e-125	462	99.605	100	100
ASV51	gi|1844116382|gb|CP053315.1|	Niallia circulans strain GN03 chromosome, complete genome	2.43e-125	462	99.605	100	100
ASV51	gi|1844116382|gb|CP053315.1|	Niallia circulans strain GN03 chromosome, complete genome	2.43e-125	462	99.605	100	100
ASV51	gi|1844116382|gb|CP053315.1|	Niallia circulans strain GN03 chromosome, complete genome	2.43e-125	462	99.605	100	100
ASV51	gi|1844116382|gb|CP053315.1|	Niallia circulans strain GN03 chromosome, complete genome	2.43e-125	462	99.605	100	100
ASV51	gi|1844116382|gb|CP053315.1|	Niallia circulans strain GN03 chromosome, complete genome	2.43e-125	462	99.605	100	100
ASV51	gi|1844116382|gb|CP053315.1|	Niallia circulans strain GN03 chromosome, complete genome	2.43e-125	462	99.605	100	100
ASV51	gi|1844116382|gb|CP053315.1|	Niallia circulans strain GN03 chromosome, complete genome	1.13e-123	457	99.209	100	100
